Name,Price,Information,Availability
Lenovo V15 AMD Ryzen 3 8GB RAM 256GB SSD 15.6 Inch Windows 11 Laptop,£314.97,"AMD Ryzen 3 7320U Processor, Radeon 610M Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
"Apple MacBook Pro 14"" M1 Pro 16GB 1TB SSD 2021 - Space Grey",£1599.97,"M1 Pro M1 Processor, M1 Pro 16-Core Graphics card, 14 Inch 3456 x 2234 120Hz Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from tomorrow
HP ProBook 635 Aero G8 AMD Ryzen 5 8GB RAM 256GB SSD 13.3 Inch Windows 10 Pro Laptop,£419.97,"AMD Ryzen 5 5600U Processor, Radeon Graphics Graphics card, 13.3 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
HP 255 G9 AMD Ryzen 7 16GB RAM 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£574.97,"AMD Ryzen 7 5825U Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
MSI Katana 17 B13VEK-015UK Intel Core i7 16GB 1TB RTX 4050 144Hz 17.3 Inch FHD Windows 11 Gaming Laptop,£1099.97,"Intel Core i7 13620H Processor, GeForce RTX 4050 Graphics card, 17.3 Inch Full HD 144Hz Screen, 16GB RAM, 1TB SSD",In Stock - Delivery from Fri 9th Feb
Razer Blade 15 Intel Core i7 16GB 1TB RTX 3070Ti 240Hz QHD 15.6 Inch Windows 11 Gaming Laptop,£1469.97,"Intel Core i7-12800H 14 Core Processor, GeForce RTX 3070 Ti 8GB Graphics Card, 15.6 Inch 240Hz QHD Screen, 16GB DDR5 4800MHz RAM, 1TB M.2 NVMe SSD",In Stock - Delivery from tomorrow
Lenovo IdeaPad 3 Gaming Laptop AMD Ryzen 5 8GB 512GB SSD RTX 3060 120Hz 15.6 Inch Windows 11,£999.97,"AMD Ryzen 5 5600H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch Full HD 120Hz Screen, 8GB RAM, 512GB SSD",In Stock - Delivery from tomorrow
Refurbished Lenovo ThinkPad T460 Core i5 6th gen 8GB 256GB 14 Inch Windows 10 Professional Laptop,£199.97,"Intel Core i5 Processor, 14 Inch 1366 x 768 Screen, 8GB RAM, 256GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Lenovo IdeaPad Gaming 3 Intel Core i5 8GB 256GB GTX 1650 15.6 Inch FHD Windows 11 Gaming Laptop,£649.97,"Intel Core i5 11320H Processor, GeForce GTX 1650 Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",In Stock - Delivery from tomorrow
Refurbished Samsung Galaxy Go Intel Celeron N4500 4GB 64GB 14 Inch Chromebook,£119.97,"Intel Celeron N4500 Processor, 14 Inch 1366 x 768 Screen, 4GB RAM, 64GB SSD, 3 Month Warranty",In Stock - Delivery from tomorrow
"Apple MacBook Pro 13"" M1 8GB 256GB SSD 2020 - Space Grey",£899.97,"M1 8-Core Processor, M1 8-Core Graphics Card, 8GB Ram + 256GB SSD, 13"" 2560 x 1600 Screen, 1 year warranty",In Stock - Delivery from tomorrow
Apple MacBook Pro 2023 14 Inch M3 Pro 18GB RAM 512GB SSD - Space Black,£1899.97,"M3 Pro Processor, 14 Inch 3024 x 1964 120Hz Screen, 18GB RAM, 512GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Space Grey,£1279.97,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",In Stock - Delivery from tomorrow
